HITId	AssignmentId	WorkerId	AcceptTime	SubmitTime	articleCategory	articleId	promptId	annotation	readingTime	writingTime	totalTime	annotationLength
3OQQD2WO8I63D9X6FC7JGGKFBYC3I4	3NL0RFNU0FNHOJ4R5V2GSLNK60Q4KO	A14SEFVPXYZ9TN	2017-11-22T20:19:30Z	2017-11-22T20:21:09Z	tech-hq	2	4	Where are the cities that have offered Amazon2 to set up? I would like to know more about that if anything.	65641	31120	96761	107
3OQQD2WO8I63D9X6FC7JGGKFBYC3I4	3R5F3LQFV2KGH7DVOGKZTYH2R15OZ8	ART2B51OIA2V3	2017-11-22T20:29:25Z	2017-11-22T20:32:53Z	tech-hq	2	1	Community wants Amazon to plan civic investments as it plans to build HQ2.	145362	61394	206756	74
3OQQD2WO8I63D9X6FC7JGGKFBYC3I4	30BXRYBRP4X2VVM39G52ALQJYDPWH4	A1J0GU26323WVA	2017-11-22T20:35:52Z	2017-11-22T20:37:29Z	tech-hq	2	0	This is interesting since Tulsa is attempting to get the next Amazon Headquarters in our area.	64597	30424	95021	94
3OQQD2WO8I63D9X6FC7JGGKFBYC3I4	3ZV9H2YQQD7N1NF4UVG06RP9F8CW32	A24WDE3E887KCO	2017-11-22T20:55:33Z	2017-11-22T20:57:39Z	tech-hq	2	1	"We're expecting Amazon to pay your fair share if you end up being our neighbor."	79337	45375	124712	81
3OQQD2WO8I63D9X6FC7JGGKFBYC3I4	33FBRBDW6OZ0OMF5PLBVLEQH3E88CJ	A3JL9FO54DWK6V	2017-11-22T22:14:15Z	2017-11-22T22:16:51Z	tech-hq	2	3	The impact of a big company like Amazon, on a local community, is huge. The investment that the company is going to do will help improve the state.	35255	113524	148779	147
3OQQD2WO8I63D9X6FC7JGGKFBYC3I4	345LHZDEDXSA9JQZZV1ZO34CUSTU3T	A2IFBLO7S1UYTZ	2017-11-22T22:44:59Z	2017-11-22T22:45:35Z	tech-hq	2	5		20224	13986	34210	0
3S1WOPCJFGT2IIX9ME9FB83CF2QJEM	3TE22NPXPBCWAHFOK3F0L4YO9E144Z	A14SEFVPXYZ9TN	2017-11-22T20:21:09Z	2017-11-22T20:21:39Z	tech-hq	3	4	I wonder if they'll let us try this again.	16109	11457	27566	42
3S1WOPCJFGT2IIX9ME9FB83CF2QJEM	3AMW0RGHOD24LIBD0SMKNBFJRSZNPD	A24WDE3E887KCO	2017-11-22T20:50:58Z	2017-11-22T20:52:43Z	tech-hq	3	4	I would like to know how it is going today and if Uber has ultimately provided funding to the areas they agreed to fund.	48939	54871	103810	120
3P0I4CQYVY7A0TAXNRVQ5ARYL05OWQ	358010RM5ETM2WMDOAISR5VZFT1XVH	AIZVGMU5Y3L4L	2017-11-22T20:18:49Z	2017-11-22T20:20:54Z	tech-hq	1	5	People should not vote to let these companies into their towns if they do not want to deal with the consequences.  People who live there should care.	76056	47407	123463	149
3P0I4CQYVY7A0TAXNRVQ5ARYL05OWQ	3R08VXYT7CV526GRW7JQJ81PK9O7W6	A296HTKGCX7FY9	2017-11-22T20:17:21Z	2017-11-22T20:34:17Z	tech-hq	1	4	Apple's Sunnyvale a constant devil	28200	369407	397607	34
3P0I4CQYVY7A0TAXNRVQ5ARYL05OWQ	3S0TNUHWKTIATELJPH665K8ZOEUD8Y	A1J0GU26323WVA	2017-11-22T20:37:30Z	2017-11-22T20:39:29Z	tech-hq	1	5	Property values may begin decreasing if the residents get tired of Apple's new "spaceship" construction!	73088	45743	118831	104
3P0I4CQYVY7A0TAXNRVQ5ARYL05OWQ	3DPNQGW4LLFAP4J23R8FI2I256F46U	A24WDE3E887KCO	2017-11-22T20:52:51Z	2017-11-22T20:55:27Z	tech-hq	1	4	The new building seems like and eyesore and an interruption to the lives of those near it. It seems that if tourists are coming up to see it the community could make money from those newcomers. Giving car washes to those in the area seems incredibly crazy. Let them wash their own cars! Wondering when the project will be done.	47659	106471	154130	327
3P0I4CQYVY7A0TAXNRVQ5ARYL05OWQ	3DPNQGW4LLFAP4J23R8FI2I256J46Y	A2VDUYTXKS4IAV	2017-11-22T21:13:32Z	2017-11-22T21:18:28Z	tech-hq	1	5	Nothing, it's just a temporary thing that happens in thousands of places always in this country.	216089	77913	294002	96
